"ETHNOLOGUE 16 ed                         "						
"Language Name"	"iso"	"Classification"	"No. of Speakers"	"Latitude"	"Longitude"	"Misc."
"Tamnim C"	"tml"	3	290	-5.5	138.5	
"Buruwai"	"asi"	21	1000	-3.5	133.33	
"Kamberau"	"irx"	3	1570	-3.42	133.5	
"Diuwe"	"diy"	21	100	-5.17	139.42	
"Kamoro"	"kgq"	21	8000	-4.33	136	
"Sempan"	"xse"	21	1000	-4.83	137.5	
"Aeka"	"aez"	12	3400			"  3      (BINANDEREAN)"
"Baruga"	"bjz"	31	2227	-9.05	148.95	3
"Doghoro"	"dgx"	3	267			3
"Binandere"	"bhg"	31	7000	-8.25	148	3
"Gaina"	"gcn"	31	1406	-9.17	148.58	
"Hunjara-K K"	"hkk"	31	8770			3
"Korafe-Yegha"	"kpr"	31	3625	-9.05	149.08	3
"Ewage-Notu"	"nou"	31	12900	-8.83	148.5	3
"Orokaiva"	"ork"	31	35000	-8.83	148.25	3
"Suena"	"sue"	31	3000	-7.75	147.55	
"Yekora"	"ykr"	31	1000	-7.83	147.5	
"Zia"	"zia"	31	3943	-8	147.58	
"Guhu-Samane"	"ghs"	21	12761	-8	147.33	
"Chuave"	"cjv"	12	23107	-6.12	145.12	"  3      (CHIMBU-WAHGI)"
"Dom"	"doa"	31	12000	-6	144.92	
"Golin"	"gvf"	3	51105	-6.33	144.75	
"Kuman"	"kue"	3	115000	-5.92	145	3
"Salt-Yui"	"sll"	3	6500	-6.28	145.03	
"Sinasina"	"sst"	3	50079	-6.08	145	
"Nomane"	"nof"	31	4645	-6.42	145.08	
"Imbongu"	"imo"	21	42500	-6.17	144	
"Bo-Ung"	"mux"	4	40948	-5.92	144	3
"Umbu-Ungu"	"ubu"	4	34154	-6	144.08	3
"Melpa"	"med"	31	130000	-5.17	144.33	
"Kandawo"	"gam"	21	4000	-5.67	144.92	
"Maring"	"mbw"	31	11000	-5.5	144.67	3
"Narak"	"nac"	31	6223	-5.58	144.67	3
"Nii"	"nii"	21	12000			3
"Wahgi"	"wgi"	31	39000	-5.83	144.72	
"N W"	"whg"	3	47000	-5.83	144.67	
"Damal"	"uhn"	12	14000	-4	137	"         (Da)"
"Dem"	"dem"	12	1000	-3.67	137.58	"         (De)"
"Bogaya"	"boq"	12	300	-5.5	142.25	"         (DUNA-BOGAYA)"
"Duna"	"duc"	21	11000	-5.5	142.5	
"Fiwaga"	"fiw"	12	300	-6.67	143.58	"         (Kutubu)"
"Foi"	"foi"	21	2800	-6.5	143.5	
"Fasu"	"faa"	12	1200	-6.58	143.33	"         (Fa)"
"Angal"	"age"	12	18614	-6	143.67	"  3      (ENGAN)"
"A Heneng"	"akh"	3	40000	-6.08	143.5	3
"A Enen"	"aoe"	3	22000	-6.17	143.58	3
"W Kewa"	"kew"	31	45000	-6.5	143.83	3
"E"	"kjs"	3	45000	-6.33	143.92	
"Erave"	"kjy"	3	10000	-6.5	143.92	
"Samberigi"	"ssx"	31	3125	-6.67	144	
"Enga"	"enq"	21	164750	-5.5	143.67	3
"Bisorio"	"bir"	3	255	-4.75	143.08	
"Kyaka"	"kyc"	3	15368	-5.55	144.08	
"Ipili"	"ipi"	31	26000	-5.42	143.08	3
"Lembena"	"leq"	31	1756	-5.33	144.17	3
"Nete"	"net"	31	750	-5	143	
"Huli"	"hui"	21	70000	-5.92	143	
"Finongwan"	"fag"	12	1300	-6.42	146.58	"         (FINISTERRE-HUON)"
"Gusan"	"gsn"	41	794	-6.33	146.67	
"Mamaa"	"mhf"	41	198	-6.42	146.58	
"Mungkip"	"mpv"	41	12	-6.5	146.75	3
"Nakama"	"nib"	41	983	-6.5	146.75	
"Nek"	"nif"	41	1500	-6.42	146.83	3
"Nimi"	"nis"	41	1381	-6.42	146.67	
"Nuk"	"noc"	41	1009	-6.5	146.92	
"Numanggang"	"nop"	41	2262	-6.5	146.75	3
"Sauk"	"skc"	41	605	-6.42	146.75	
"Uri"	"uvh"	41	2500	-6.5	146.58	3
"Madi"	"grg"	31	383	-5.67	146.42	
"Iyo"	"nca"	41	6900	-5.83	146.08	
"Neko"	"nej"	41	315	-5.67	146.25	
"Nekgini"	"nkg"	41	430	-5.67	146.25	
"Ngaing"	"nnf"	41	2023	-5.67	146.33	
"Rawa"	"rwo"	41	11500	-5.83	146	3
"Ufim"	"ufi"	41	550	-6.08	146.25	
"Weliki"	"klh"	31	200	-6.08	147.08	
"Nukna"	"klt"	41	850	-6	147	
"Sakam"	"skm"	41	510	-6.25	146.75	
"Som"	"smc"	41	80	-6.17	146.67	
"Yau"	"yuv"	41	1700			
"Awara"	"awx"	31	1865	-6.25	146.33	3
"Wantoat"	"wnc"	4	8201	-6.17	146.5	
"Tuma-Irumu"	"iou"	41	1500	-6.33	146.58	
"Maratayak"	"asx"	31	811	-5.75	146.5	
"Yagomi"	"ygm"	4	283	-5.75	146.58	
"Bulgebi"	"bmp"	41	50	-5.75	146.42	
"Gwahatike"	"dah"	41	1571	-5.67	146.42	3
"Degenan"	"dge"	41	789	-5.75	146.58	
"Forak"	"frq"	41	283	-5.75	146.5	
"Guya"	"gka"	41	131	-5.75	146.42	
"Asaroo"	"mtv"	41	1245	-5.75	146.5	
"Bonkiman"	"bop"	31	175	-5.92	146.83	
"Domung"	"dev"	41	2000	-5.92	146.67	
"Gabutamon"	"gav"	41	329	-5.83	136.58	
"Ma"	"mjn"	41	570	-5.75	146.33	
"Nankina"	"nnk"	41	2500	-5.78	146.45	3
"Yopno"	"yut"	41	7200	-6	146.58	3
"Dedua"	"ded"	21	5620	-6.42	147.67	
"Kube"	"kgf"	41	6000	-6.5	147.5	
"Kate"	"kmg"	41	6125	-6.5	147.75	
"Borong"	"ksr"	41	2069	-6.67	147.5	3
"Mape"	"mlh"	41	5117	-6.67	147.67	
"Migabac"	"mpp"	41	1300	-6.42	147.67	
"Momare"	"msz"	41	650	-6.42	147.75	
"Sene"	"sej"	41	10	-6.5	147.75	
"Kovai"	"kqb"	31	5000	-5.67	147.83	
"Burum-Mindik"	"bmu"	31	8253	-6.5	147.33	3
"Kinalakna"	"kco"	41	219	-6.08	147.42	
"Komba"	"kpf"	41	15000	-6.17	147.25	3
"Kumukio"	"kuo"	41	552	-6.08	147.42	
"Mesem"	"mci"	41	4000	-6.58	147.08	3
"Nabak"	"naf"	41	16000	-6.42	147	3
"Nomu"	"noh"	41	807	-6.17	147.5	
"Ono"	"ons"	41	5500	-6.17	147.58	3
"Selepet"	"spl"	41	7000	-6.17	147.17	
"Sialum"	"slw"	41	642	-6.17	147.58	
"Tobo"	"tbv"	41	2230	-6.42	147.42	
"Timbe"	"tim"	41	11000	-6.17	147.08	3
"Fore"	"for"	12	17000	-6.75	145.5	"  3      (KAINANTU-GOROKA)"
"Gimi"	"gim"	41	22463	-6.63	145.5	
"Dano"	"aso"	31	30000	-6	145.25	3
"Alekano"	"gah"	4	25000	-6	145.42	
"Tokano"	"zuh"	4	6000	-6.17	145.33	
"Benabena"	"bef"	41	45000	-6.17	145.5	
"Gende"	"gaf"	31	8000	-5.67	145.17	
"Isabi"	"isa"	31	280	-5.92	145.42	
"Kamano"	"kbq"	31	63170	-6.25	145.67	3
"Inoke-Yate"	"ino"	4	10000	-6.42	145.58	
"Kanite"	"kmu"	4	8000	-6.5	145.58	
"Keyagana"	"kyg"	4	12284	-6.58	145.5	
"Yagaria"	"ygr"	4	21116	-6.33	145.42	
"Siane"	"snp"	31	28978	-6.08	145.2	3
"Yaweyuha"	"yby"	41	2000	-6.25	145.33	
"Awiyaana"	"auy"	21	11110	-6.5	145.75	3
"Kosena"	"kze"	4	2000	-6.58	145.67	3
"Usarufa"	"usa"	4	1300	-6.42	145.58	
"Awa"	"awb"	41	2054	-6.67	145.75	3
"Gadsup"	"gaj"	41	22061	-6.25	146	3
"Agarabi"	"agd"	4	26996	-6.17	146	3
"Ontenu"	"ont"	4	3000	-6.5	145.75	3
"Kambaira"	"kyy"	31	135	-6.33	146.08	
"Owenia"	"wsr"	31	349	-5.75	145.83	
"Binumarien"	"bjr"	31	360	-6.28	146.08	3
"S Tairora"	"omw"	41	7000	-6.42	145.92	3
"N T"	"tbg"	4	6000	-6.5	146	3
"Waffa"	"waj"	41	1300	-6.67	146.08	
"Kenati"	"gat"	31	950	-6.83	145.83	
"Aghu"	"ahh"	12	3000	-6.17	140.17	"         (OK-AWYU)"
"S Awyu"	"aws"	41	9340	-7	139.5	
"Edera A"	"awy"	4	3870	-7	139.5	
"C A"	"awu"	41	7500			
"Jair A"	"awv"	4	2300			
"N A"	"yir"	4	1500	-5.92	140	
"Asue A"	"psa"	41	6500	-5.17	139.17	
"Mandobo Atas"	"aax"	31	1000	-6.2	140.5	
"M Bawah"	"bwp"	4	2000	-6.6	141	
"Kombai"	"tyn"	41	4000	-5.58	140	
"Wanggom"	"wng"	4	1180			
"Wambon"	"wms"	41	3000	-5.5	140.42	
"Ketum"	"ktt"	41	900			
"Sawi"	"saw"	31	3500	-5.92	138.5	
"Korowai"	"khe"	31	3500	-5.25	140	
"Iwur"	"iwo"	22	1000	-5	140.83	
"Yonggom"	"yon"	41	4000	-5.75	140.92	
"N Muyu"	"kti"	4	8000	-5.5	141	
"S M"	"kts"	4	4000	-6.08	141.12	
"Ninggerum"	"nxr"	41	6146	-5.42	141.17	
"Bimin"	"bhl"	31	2250	-5.42	142	
"Faiwol"	"fai"	41	4500	-5.5	141.67	3
"Mian"	"mpt"	41	1400	-4.67	141.5	
"Suganga"	"sug"	4	350	-4.5	141.17	
"Nakai"	"nkj"	41	700	-5	140.58	
"Setaman"	"stm"	41	280	-5.33	141.83	
"Tifal"	"tif"	41	3600	-5	141.33	3
"Urapmin"	"urm"	4	366	-5.08	141.5	
"Telefol"	"tlf"	41	5400	-5	141.75	3
"Komyandaret"	"kzv"	31	300			
"Ngalum"	"szb"	41	18000	-4.75	140.75	
"Tsaukambo"	"kvz"	41	780	-5.33	140.25	
"Tangko"	"tkx"	31	100			
"Burumakok"	"aip"	31	40	-4.92	140.25	
"Kwer"	"kwr"	41	100	-5	140	
"Kopkaka"	"opk"	41	400	-4.83	140	
"Eipomek"	"eip"	12	3000	-4.33	140.08	"         (MEK)"
"Una"	"mtg"	3	4000	-4.67	140	3
"Kosarek Yale"	"kkl"	31	2300	-4.17	139.67	
"Nipsan"	"nps"	3	2500	-4.17	139.67	
"Koropun-Sela"	"kpq"	31	8000	-4.5	139.58	
"Nalca"	"nlc"	31	11092	-4.25	139.83	
"Ketengban"	"xte"	21	9968	-4.5	140.5	
"Morori"	"mok"	12	50	-8.58	140.67	"         (Mo)"
"Mor"	"moq"	12	25	-2.83	132.67	"         (Mo)"
"Tanahmerah"	"tcm"	12	500	-2.67	132.83	"         (Ta)"
"Wiru"	"wiu"	12	15292	-6.42	144.25	"         (Wi)"
"Fuyug"	"fuy"	12	14000	-8.58	147.33	"  3      (SE PAPUAN)"
"Biangai"	"big"	31	1400	-7.33	146.75	3
"Kunimaipa"	"kup"	41	8200	-8	146.83	3
"Weri"	"wer"	41	4163	-7.75	146.92	
"Tauade"	"ttd"	41	7000	-8.42	147.17	
"Omie"	"aom"	22	800	-9.05	148.08	3
"Barai"	"bbb"	41	800	-9.33	148.08	3
"Namiae"	"nvm"	4	1200			3
"Ese"	"mcq"	41	10000	-9.08	148.42	
"Grass Koiari"	"kbk"	31	1700	-9.5	147.33	
"Mt K"	"kpx"	41	4000	-9	147.5	3
"Koitabu"	"kqi"	41	2700	-9.33	147.08	
"Bauwaki"	"bwk"	22	520	-9.92	148.83	
"Binahari"	"bxz"	31	630	-10.08	148.83	
"Domu"	"dof"	31	947	-10.17	148.5	
"Laua"	"luf"	31	1	-10.25	149.25	
"Mailu"	"mgu"	31	8500	-10.33	149.33	
"Morawa"	"mze"	31	1100	-10.17	148.67	
"Doromu-K"	"kqc"	22	1500	-9.5	148	3
"Maria"	"mds"	31	1350	-9.9	148.23	
"Daga"	"dgz"	23	9000	-10	149.33	"         (Dagan)"
"Umanakaina"	"gdn"	31	2400	-9.92	149.67	3
"Ginuman"	"gnm"	31	1442	-10	149.67	
"Dima"	"jma"	31	754	-9.67	149.58	3
"Mapena"	"mnm"	31	274	-9.75	149.5	
"Maiwa"	"mti"	31	1400	-9.67	149.25	
"Onjob"	"onj"	31	150	-9.33	149.08	
"Kanasi"	"soq"	31	2200	-10.17	149.75	
"Turaka"	"trh"	31	25	-9.83	149.58	
"Humene"	"huf"	23	935	-9.67	147.58	"         (Kwalean)"
"Uare"	"ksj"	31	1300	-9.67	147.67	
"Mulaha"	"mfw"	31	-1	-9.67	147.44	
"Aneme Wake"	"aby"	23	650	-9.83	148.5	"         (Yareban)"
"Bariji"	"bjc"	31	456	-9.25	148.5	
"Moikodi"	"mkp"	31	571	-9.58	148.33	
"Nawaru"	"nwr"	31	190	-9.42	148.25	
"Yareba"	"yrb"	31	750	-9.5	148.5	
"Semimi"	"etz"	3	1000	-3.86	134.38	"         MAIRASI"
"Mairasi"	"zrs"	11	3300	-3.5	134	
"Mer"	"mnu"	11	85	-3.5	134.75	
"Emem"	"enr"	3	2000	-3.67	140.92	"         PAUWASI"
"Zorop"	"wfg"	21	230	-3.42	140.92	
"Karkar-Yuri"	"yuj"	21	1142	-3.75	141.08	3
"Tebi"	"dmu"	11	220	-3.58	140.83	
"Towei"	"ttn"	21	115	-3.83	140.83	
"Momina"	"mmb"	3	200	-4.75	139.83	"         SOMAHAI"
"Momuna"	"mqf"	11	2000	-5	138.67	
"Mai Brat"	"ayz"	3	20000	-1.33	132.5	"  2      MAYBRAT"
"Karon Dori"	"kgw"	1	5000	-0.75	132.58	
"Abun"	"kgr"	1	3000	-0.5	132.5	"         Abu"
"Hatam"	"had"	2	16000	-1	134	"         Hat"
"Mpur"	"akc"	2	7000	-0.75	133.25	"         Mpu"
"Tehit"	"kps"	2	10000	-1.5	132	"         W PAPUAN"
"Kalabra"	"kzz"	2	3287	-1.17	131.58	
"Moraid"	"msg"	21	1000	-0.92	131.83	
"Moi"	"mxn"	2	4600	-1	131.5	
"Seget"	"sbg"	21	1200	-1.33	131.25	
"Galela"	"gbi"	12	79000	2.42	128.33	
"Laba"	"lau"	3	2000	1.58	127.5	
"Loloda"	"loa"	3	15000	1.92	127.75	
"Pagu"	"pgu"	31	3309	1.25	127.75	
"Modole"	"mqo"	31	2000	1.42	127.75	
"Tabaru"	"tby"	31	15000	1.5	127.25	
"Tobelo"	"tlb"	31	27720	1.5	128.5	
"Tugutil"	"tuj"	3	2588	1.5	127.75	
"Gamkonora"	"gak"	21	1500	1.83	127.5	
"Ibu"	"ibu"	3	35	1.5	127.5	
"Sahu"	"saj"	3	7500	1.17	127.5	
"Waioli"	"wli"	3	3000			
"Kao"	"kax"	31	403	1.17	127.75	
"W Makian"	"mqs"	21	12000	0.5	127.58	
"Ternate"	"tft"	21	42000	0.83	127.25	
"Tidore"	"tvo"	31	26000	0.75	127.5	
"Yawa"	"yva"	13	6000	-1.75	136.25	"         (YAWA)"
"Saweru"	"swr"	2	300	-1.92	136.33	
"Molof"	"msl"	3	200	-3.42	140.5	"         Mol"
"Tofanma"	"tlg"	3	250	-3.75	140.58	"         Tof"
"Usku"	"ulf"	3	110	-3.67	140.5	"         Usk"
"Abinomn"	"bsa"	3	300	-3	138.83	"  3      Abi"
"Odiai"	"bhf"	3	244	-3.83	141.42	"         Odi"
"Yale"	"nce"	3	600	-3.75	141.5	"  3      Yal"
"Doso"	"dol"	3	700	-7.58	142.58	"         Dos"
"Bunaba"	"bck"	3	160	-17.75	125.75	"         AUSTRALIAN"
"Gooniyandi"	"gni"	21	100	-18.33	126.33	
"Marriammu"	"xru"	12	5			
"Marithiel"	"mfr"	22	25	-13.83	130	
"Maridan"	"zmd"	4	20	-14.17	130.17	
"Maridjabin"	"zmj"	4	20	-13.92	129.83	
"Marti Ke"	"zmg"	41	3	-14	129.83	
"Marimanindji"	"zmm"	41	15	-14.25	130.67	
"Maringarr"	"zmt"	41	30	-14.25	130	
"Mariyedi"	"zmy"	41	20	-13.75	129.83	
"Ami"	"amy"	31	32	-13.5	130	
"Manda"	"zma"	4	25	-13.67	129.83	
"Giyug"	"giy"	41	2			
"Maranunggu"	"zmr"	41	15	-13.67	130	
"Wadjiginy"	"wdj"	42	12	-13.17	130.17	
"Kamu"	"xmu"	22	-2005	-13.58	130.83	
"Madngele"	"zml"	4	15	-13.83	130.42	
"Mullukmulluk"	"mpb"	32	9	-13.42	130.42	
"Tyaraity"	"woa"	41	10	-13	130.33	
"Murrinh-Patha"	"mwf"	22	1430	-14.67	129.67	3
"Nangikurrungg"	"nam"	32	220	-14	130.5	
"Djamindjung"	"djd"	12	30	-15.08	130.5	
"Nungali"	"nug"	21	-2005	-14.92	131.83	
"Gadjerawang"	"gdh"	12	3	-15.5	129.25	
"Kitja"	"gia"	21	410	-17.5	127.75	3
"Miriwung"	"mep"	21	110	-15.67	129	
"Garawa"	"gbc"	12	110	-17.08	137.17	
"Erre"	"err"	12	-2005	-12.25	132.83	
"Urningangg"	"urc"	21	-2005	-13.25	133.17	
"Mangerr"	"zme"	2	-2005	-12.25	133.17	
"Burarra"	"bvr"	12	700	-12.25	134.58	3
"Guragone"	"gge"	31	20	-12.25	134.42	
"Djeebbana"	"djj"	32	100	-12.17	134.12	
"Nakara"	"nck"	32	75	-12.12	134.42	
"Djauan"	"djn"	22	0	-14.08	133.25	
"Anindilyakwa"	"aoi"	22	1240	-14	136.5	3
"Ngandi"	"nid"	32	-1	-13.83	135	
"Nunggubuyu"	"nuy"	32	360	-13.75	135.67	
"Gagadu"	"gbu"	22	6	-12.58	132.83	
"Gunwinggu"	"gup"	22	1410	-12.5	133.75	
"Kunbarlang"	"wlg"	31	75	-12	134	
"Ngalkbun"	"ngk"	21	20	-13.5	134.83	
"Kungarakany"	"ggk"	21	-1989	-12	131	
"Mangarayi"	"mpc"	22	50	-14.67	133.5	
"Alawa"	"alh"	22	18	-15.17	134.25	
"Mara"	"mec"	31	15	-15	135.17	
"Wandarang"	"wnd"	41	-1	-14.42	135.58	
"Ngalakan"	"nig"	22	-2004	-14.25	134	
"Rembarunga"	"rmb"	32	69	-12.83	134.58	
"Wageman"	"waq"	22	10	-14	131.25	
"Waray"	"wrz"	22	-2005	-13.17	131.25	
"Dagoman"	"dgn"	22	-1			
"Yangman"	"jng"	31	-2000	-14.67	132.58	
"Wardaman"	"wrr"	31	50	-15.5	131	
"Laragia"	"lrg"	12	-2005	-12.67	130.83	
"Limilngan"	"lmc"	12	-2005	-12.5	131.92	
"Wulna"	"wux"	21	1	-12.33	131.25	
"Bardi"	"bcj"	12	380	-16.58	122.92	
"Nyigina"	"nyh"	21	50	-18	124.33	
"Nyulnyul"	"nyv"	21	-2005	-17	122.83	
"Djawi"	"djw"	2	-2005			
"Dyaberdyaber"	"dyb"	2	-2005	-17.33	122.5	
"Dyugun"	"dyd"	2	-2005	-17.83	122.75	
"Nimanbur"	"nmp"	2	-2005	-17.33	123.67	
"Warrwa"	"wwr"	21	-2005	-17.5	123.5	
"Yawuru"	"ywr"	21	30	-18	122.5	
"Andegerebinha"	"adg"	12	10	-22.75	138	"         (PAMA-NYUNGAN)"
"E Arrernte"	"aer"	3	3820	-24	136	3
"W Arrarnta"	"are"	3	1000	-24	132.5	3
"Alyawarr"	"aly"	3	1450	-22.5	135	
"Anmatyerre"	"amx"	3	1220	-22	133.25	
"Kaytetye"	"gbb"	31	200	-19.5	134	
"Bandjigali"	"bjd"	21	1	-30	143.25	
"Darling"	"drl"	3	5	-32.5	142.5	
"Bandjalang"	"bdy"	21	10	-28.42	152.42	
"Dyangadi"	"dyn"	21	5	-30.75	152.75	
"Nganyaywana"	"nyx"	31	-1			
"Dyirbal"	"dbl"	21	45	-17.83	145.58	
"Nyawaygi"	"nyt"	31	-2005	-19	146.17	
"Warrgamay"	"wgy"	31	3	-18.58	146.08	
"Wulguru"	"wu0"	31	-1	-19	146.5	
"Flinders Is"	"fln"	21	-2005	-14.17	144.17	
"Kalkutung"	"ktg"	21	-1	-21	139.5	
"Yalarnnga"	"ylr"	31	-1	-21.69	139.5	
"Kumbainggar"	"kgs"	21	10	-30.17	152.5	
"Yaygir"	"yg0"	31	-1	-29.4	153	
"Barrow Pt"	"bpt"	21	-2005	-14.17	144.5	
"Guguyimidjir"	"kky"	31	740	-15	144.83	
"Kala Lagaw Ya"	"mwp"	21	930	-10.12	142.12	3
"Pirlatapa"	"bxi"	21	-1965			
"Dieri"	"dif"	41	-1	-28	139	
"Ngamini"	"nmv"	4	-2005	-27.5	139	
"Yandruwandha"	"ynd"	4	-2005	-28.33	140.5	
"Dirari"	"dit"	41	-2005	-29	138.25	
"Yawarawarga"	"yww"	41	-2005	-26.75	140	
"Ngura"	"nbx"	31	-2005	-27.33	143	
"Arabana"	"ard"	31	-2005	-28.25	136.25	
"Wangganguru"	"wgg"	4	-2005	-25.83	136	
"Pitta Pitta"	"pit"	41	-2005	-22.83	140	
"Wanggamala"	"wnm"	41	-2005			
"Malyangapa"	"ma0"	31	-1	-29.43	142	
"Lardil"	"lbz"	21	2	-16.5	139.33	
"Bidyara"	"bym"	21	20	-25.17	146	
"Biri"	"bzr"	3	-2005	-20.5	146.5	
"Gugu Badhun"	"gdc"	3	-2005	-18.75	144.5	
"Gangulu"	"gnl"	3	-1	-22.5	149	
"Guwamu"	"gwu"	3	-2005	-27.83	149	
"Gungabula"	"gyf"	3	-2005			
"Gunya"	"gyy"	3	-2005	-26.5	146.5	
"Kunggari"	"kgl"	3	-2005	-24.25	143.25	
"Wadjigu"	"wdu"	3	-2005	-23.83	147.25	
"Warungu"	"wrg"	3	-2005	-18	145	
"Margany"	"zmc"	3	-2005	-27	144.5	
"Mandandanyi"	"zmk"	3	-2005	-26.67	149.25	
"Mbara"	"mvl"	21	-1			
"Muruwari"	"zmu"	21	-2005	-28.75	147	
"Narrinyeri"	"nay"	21	-1	-36	140	
"Kunjen"	"kjn"	21	22	-16.5	142.5	
"Gugubera"	"kkp"	31	15	-15.5	141.58	
"Gugadj"	"ggd"	31	-2005	-18	141.25	
"Lamu-Lamu"	"lby"	31	-2005	-14.83	144.5	
"Umbuygamu"	"umg"	41	-2005	-14.33	143.67	
"Maykulan"	"mnt"	31	-1	-20	141	
"Ngawun"	"nxn"	41	-2005	-19	141.5	
"Mayaguduna"	"xmy"	41	-2005	-18.17	140.5	
"Gugu Warra"	"wrw"	31	-1			
"Mbariman-Gudh"	"zmv"	41	-2005	-14.67	143.75	
"Ayabadhu"	"ayd"	31	-2005	-14.75	142.92	
"Pakanha"	"pkn"	41	10	-14.5	142.42	
"Kuku-Ugbanh"	"ugb"	41	-2005	-14	141.5	
"K-Uwanh"	"uwa"	41	40	-14.42	142	
"K-Muminh"	"xmh"	41	31	-14.17	141.58	
"K-Muinh"	"xmp"	41	-2005	-14.25	141.67	
"K-Mangk"	"xmq"	41	-2005	-14.33	141.83	
"Wik-Epa"	"wie"	41	-2005	-13.83	141.83	
"W-Keyangan"	"wif"	41	-2005	-14.33	142.17	
"W-Ngathana"	"wig"	41	126	-13.92	141.5	
"W-Meanha"	"wih"	41	12	-14.17	142.08	
"W-Liyanh"	"wij"	41	40	-14.17	142.83	
"Wikalkan"	"wik"	41	86	-13.67	141.5	
"W-Mungkan"	"wim"	41	840	-13.92	141.75	
"Wikngenchera"	"wua"	41	50	-13.33	141.67	
"Areba"	"aea"	31	-2005	-16.75	142.58	
"Gurdjar"	"gdj"	41	30	-17.25	141.5	
"Kunggara"	"kvs"	4	10	-17.75	141.33	
"Kuthant"	"xut"	41	-2005	-17.42	140.92	
"Kanju"	"kbe"	31	50	-13.33	143	
"Kuuku-Yau"	"kuy"	41	21	-12.58	143.08	
"Umpila"	"ump"	41	100	-13.08	143.75	
"Alngith"	"aid"	31	-2005	-12.5	142	
"Leningitij"	"lnj"	4	-1	-12.8	141.8	
"Atampaya"	"amz"	41	-2005	-11	143.25	
"Uradhi"	"urf"	41	-2005	-11.92	142.42	
"Aghu Tharngga"	"ggr"	31	-1			
"Thaypan"	"typ"	41	-2005	-14.83	143.17	
"Mbabaram"	"vmb"	31	-2005	-17.17	145	
"Wamin"	"wmi"	41	-2005	-18.42	143.83	
"Umbindhamu"	"umd"	31	-2005	-13.83	143.5	
"Thayore"	"thd"	31	150	-14.58	141.83	2
"Yir Yoront"	"yiy"	31	15	-14.83	141.83	
"Nhuwala"	"nhf"	21	10	-21.25	116	
"Ngarluma"	"nrl"	41	21	-20.83	117.5	
"Kariyarra"	"vka"	4	-1			
"Kurrama"	"vku"	41	50	-22	117.75	
"Yindjibarndi"	"yij"	4	330	-21.75	117.92	2
"Martuyhunira"	"vma"	41	5	-20.83	116.5	
"Dhalandji"	"dhl"	31	20	-22	115	
"Pinigura"	"pnv"	41	5	-22.5	116.5	
"Dhargari"	"dhr"	31	6	-23.75	114.92	
"Djiwarli"	"djl"	41	-2005	-23.83	117.25	
"Ngarla"	"nlr"	41	8	-20.33	119.5	
"Nyamal"	"nly"	41	20	-21	120	
"Panytyima"	"pnw"	41	50	-22.83	118.42	
"Tjurruru"	"tju"	41	-1			
"Wariyangga"	"wri"	41	-1			
"Bayungu"	"bxj"	31	6	-23.67	114.25	
"Burduna"	"bxn"	41	3	-23	114.83	
"Malgana"	"vml"	31	-1			
"Mangala"	"mem"	31	-1986	-18.75	124.5	
"Karadjeri"	"gbd"	31	12	-19	122	
"Nyangumarta"	"nna"	41	260	-20	121	
"Kalarko"	"kba"	31	-1			
"Ngadjunmaya"	"nju"	4	10	-32.33	123.83	
"Warlpiri"	"wbp"	31	2670	-20	132.33	3
"Warlmanpa"	"wrl"	41	50	-19.08	134	
"Jaru"	"ddj"	31	340	-18.75	128	
"Gurinji"	"gue"	41	540	-17.67	130.67	
"Mudbura"	"mwd"	41	120	-17.33	132.08	
"Ngarinman"	"nbj"	41	170	-16.5	130.5	
"Walmajarri"	"wmt"	41	860	-19.5	125.75	3
"Nijadali"	"nad"	31	6	-23.33	121.25	
"Nyunga"	"nys"	31	170	-33.75	122	
"Badimaya"	"bia"	31	20	-27.67	118	
"Wajarri"	"wbv"	4	50	-26	117.5	
"Antakarinya"	"ant"	31	50	-27.33	134.5	
"Yankuntjatjar"	"kdd"	4	73	-27	132	
"Kukatja"	"kux"	4	580	-20.08	127.75	
"Martu Wangka"	"mpj"	4	720	-21.5	126	
"Ngaanyatjarra"	"ntj"	4	990	-26	126.5	
"Pini"	"pii"	4	10	-25.83	119.75	
"Pintupi-Lurit"	"piu"	4	390	-23	129	
"Pitjantjatjar"	"pjt"	4	2120	-26	130	
"Pintiini"	"pti"	4	250	-30	127.5	
"Kokata"	"ktd"	4	3	-30	134	
"Ooldea"	"wd0"	4	0			
"Wanman"	"wbt"	41	20	-22.25	123	
"Wirangu"	"wiw"	31	2	-32	134	
"Yinggarda"	"yia"	31	5	-25.17	114.83	
"Nhanda"	"nha"	41	0	-27	114.1	
"Adynyamathanh"	"adt"	31	130	-30.5	139.5	
"Banggarla"	"bjb"	41	-1	-32	137	
"Guyani"	"gvy"	41	-1			
"Narungga"	"nnr"	41	-1936	-34.67	137.5	
"Nugunu"	"nnv"	4	-2000	-31.75	134.75	
"Wagaya"	"wga"	21	-2005	-20.17	137.5	
"Warluwara"	"wrb"	31	-2005	-22	138.5	
"Yindjilandji"	"yil"	31	-2005	-21	138	
"Bayali"	"bjy"	21	-1	-22.75	150.5	
"Wakawaka"	"wkw"	31	-2005	-26.17	153.83	
"Wuliwuli"	"wlu"	41	-1	-24.53	150.1	
"Gureng Gureng"	"gnr"	31	-1	-25.25	151	
"Warumungu"	"wrm"	21	520	-19.33	134.33	
"Gamilaraay"	"kld"	21	3	-29.83	149.5	
